Product Name,Price,Image URL,Product URL,User Rating,Review Count,Specifications,Brand,Product ID,Category
iPhone 14 Plus,20.090.000₫,https://cdn.tgdd.vn/Products/Images/42/245545/iPhone-14-plus-thumb-xanh-1-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-14-plus,4.4,127,"{'RAM': '6 GB', 'Dung lượng': '128 GB', 'Camera sau': '2 camera 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),245545,Điện thoại
iPhone 15 Pro,28.490.000₫,https://cdn.tgdd.vn/Products/Images/42/303831/iphone-15-pro-black-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-15-pro-256gb,4.5,49,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 48 MP & Phụ 12 MP, 12 MP', 'Camera trước': '12 MP'}",iPhone (Apple),303831,Điện thoại
Itel it9211,490.000₫,https://cdn.tgdd.vn/Products/Images/42/329839/itel-it9211-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/itel-it9211,4.0,4,{},Itel,329839,Điện thoại
Itel it9310,650.000₫,https://cdn.tgdd.vn/Products/Images/42/329840/itel-it9310-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/itel-it9310,4.0,17,{},Itel,329840,Điện thoại
Itel it2600,490.000₫,https://cdn.tgdd.vn/Products/Images/42/328399/itel-it2600-black-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/itel-it2600,,0,{},Itel,328399,Điện thoại
Masstel Fami 50 4G,600.000₫,https://cdn.tgdd.vn/Products/Images/42/323546/masstel-fami-50-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-fami-50,3.9,7,{},Masstel,323546,Điện thoại
Masstel IZI 10 4G,410.000₫,https://cdn.tgdd.vn/Products/Images/42/265311/masstel-izi-10-4g-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-10,4.1,272,{},Masstel,265311,Điện thoại
Masstel IZI T6 4G,500.000₫,https://cdn.tgdd.vn/Products/Images/42/322877/masstel-izi-t6-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-t6,3.8,22,{},Masstel,322877,Điện thoại
Masstel Lux 10,420.000₫,https://cdn.tgdd.vn/Products/Images/42/299611/masstel-lux-10-xanh-duong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-lux-10,3.8,112,{},Masstel,299611,Điện thoại
Masstel Fami 60S 4G,700.000₫,https://cdn.tgdd.vn/Products/Images/42/322876/masstel-fami-60s-blue-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-fami-60s,3.4,7,{},Masstel,322876,Điện thoại
Mobell M239,500.000₫,https://cdn.tgdd.vn/Products/Images/42/284122/mobell-m239-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m239,3.9,171,{},Mobell,284122,Điện thoại
Mobell F209 4G,620.000₫,https://cdn.tgdd.vn/Products/Images/42/299998/mobell-f209-gold-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-f209,3.7,49,{},Mobell,299998,Điện thoại
Mobell F309 4G,760.000₫,https://cdn.tgdd.vn/Products/Images/42/304608/mobell-f309-trang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-f309,4.3,61,{},Mobell,304608,Điện thoại
Mobell Rock 4 4G,790.000₫,https://cdn.tgdd.vn/Products/Images/42/288631/mobell-rock-4-xanh-la-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-rock-4,4.0,102,{},Mobell,288631,Điện thoại
Mobell M539 4G,700.000₫,https://cdn.tgdd.vn/Products/Images/42/288630/mobell-m539-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m539,4.0,104,{},Mobell,288630,Điện thoại
Mobell M331 4G,550.000₫,,https://www.thegioididong.com/dtdd/mobell-m331,3.6,28,{},Mobell,314697,Điện thoại
Nokia 105 4G Pro,680.000₫,https://cdn.tgdd.vn/Products/Images/42/311033/nokia-105-4g-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-105-4g-pro,3.3,50,{},Nokia,311033,Điện thoại
Nokia 220 4G,990.000₫,https://cdn.tgdd.vn/Products/Images/42/207956/nokia-220-4g-cam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-220-4g,3.5,38,{},Nokia,207956,Điện thoại
Nokia 110 4G Pro,750.000₫,https://cdn.tgdd.vn/Products/Images/42/311034/nokia-110-4g-tim-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-110-4g-pro,3.5,30,{},Nokia,311034,Điện thoại
Nokia HMD 105 4G,650.000₫,https://cdn.tgdd.vn/Products/Images/42/329676/nokia-hmd-105-4g-pink-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,4.0,7,{},Nokia,329676,Điện thoại
Nokia 3210 4G,1.590.000₫,https://cdn.tgdd.vn/Products/Images/42/326477/nokia-3210-4g-yellow-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-3210-4g,3.8,19,{},Nokia,326477,Điện thoại
Nokia 105,610.000₫,,https://www.thegioididong.com/dtdd/nokia-105-4g,3.5,364,{},Nokia,240194,Điện thoại
OPPO Find X8 5G 16GB/512GB,22.990.000₫,https://cdn.tgdd.vn/Products/Images/42/322128/oppo-find-x8-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x8,,0,"{'RAM': '16 GB', 'Dung lượng': '512 GB', 'Camera sau': '3 camera 50 MP', 'Camera trước': '32 MP'}",OPPO,322128,Điện thoại
OPPO Find X8 Pro 5G 16GB/512GB,29.990.000₫,https://cdn.tgdd.vn/Products/Images/42/322129/oppo-find-x8-pro-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x8-pro,,0,"{'RAM': '16 GB', 'Dung lượng': '512 GB', 'Camera sau': '4 camera 50 MP', 'Camera trước': '32 MP'}",OPPO,322129,Điện thoại
OPPO A3x,3.290.000₫,https://cdn.tgdd.vn/Products/Images/42/328449/oppo-a3x-red-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb,4.2,36,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 8 MP & Cảm biến Flicker', 'Camera trước': '5 MP'}",OPPO,328449,Điện thoại
OPPO A3,4.990.000₫,https://cdn.tgdd.vn/Products/Images/42/328453/oppo-a3-purple-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a3-6gb-128gb,,0,"{'RAM': '6 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Cảm biến Flicker', 'Camera trước': '5 MP'}",OPPO,328453,Điện thoại
OPPO A18 4GB/64GB,3.290.000₫,https://cdn.tgdd.vn/Products/Images/42/313153/oppo-a18-xanh-thumb-1-2-3-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a18,4.0,32,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 8 MP & Phụ 2 MP', 'Camera trước': '5 MP'}",OPPO,313153,Điện thoại
OPPO Reno12 F 5G,9.190.000₫,https://cdn.tgdd.vn/Products/Images/42/327190/oppo-reno12-f-5g-orange-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb,3.2,23,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Camera trước': '32 MP'}",OPPO,327190,Điện thoại
