Product Link,Product Name,Price
https://www.thegioididong.com/dtdd/xiaomi-14t-5g-12gb-512gb-xanh,Xiaomi 14T 5G 12GB/512GB Xanh,13990000.0
https://www.thegioididong.com/dtdd/xiaomi-poco-m6,Xiaomi POCO M6 6GB/128GB,3890000.0
https://www.thegioididong.com/dtdd/xiaomi-14-ultra?utm_flashsale=1,Xiaomi 14 Ultra 5G 16GB/512GB,24090000.0
https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb,vivo V40 Lite 8GB/256GB,8490000.0
https://www.thegioididong.com/dtdd/vivo-y100,vivo Y100,6490000.0
https://www.thegioididong.com/dtdd/vivo-y03,vivo Y03,3290000.0
https://www.thegioididong.com/dtdd/vivo-y36,vivo Y36 8GB/256GB,4390000.0
https://www.thegioididong.com/dtdd/vivo-y28,vivo Y28,5790000.0
https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb,vivo Y19s,4290000.0
https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb,vivo Y18,3690000.0
https://www.thegioididong.com/dtdd/vivo-v40-5g,vivo V40 5G 12GB/256GB,12990000.0
https://www.thegioididong.com/dtdd/vivo-v30e-12gb,vivo V30e 5G,9490000.0
https://www.thegioididong.com/dtdd/vivo-v30,vivo V30 5G 12GB/512GB,12490000.0
https://www.thegioididong.com/dtdd/vivo-y03t-4gb-128gb,vivo Y03T 4GB/128GB,3290000.0
https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb,realme C75,5690000.0
https://www.thegioididong.com/dtdd/realme-note-50-64gb,realme Note 50,2490000.0
https://www.thegioididong.com/dtdd/realme-note-60-4gb-64gb,realme Note 60,3090000.0
https://www.thegioididong.com/dtdd/realme-c65,realme C65,4790000.0
https://www.thegioididong.com/dtdd/realme-c67?utm_flashsale=1,realme C67,3790000.0
https://www.thegioididong.com/dtdd/realme-c53-8gb?utm_flashsale=1,realme C53 8GB/256GB,4790000.0
https://www.thegioididong.com/dtdd/realme-c65s-8gb-128gb,realme C65s,4790000.0
https://www.thegioididong.com/dtdd/realme-12,realme 12,7990000.0
https://www.thegioididong.com/dtdd/realme-c60,realme C60 4GB/64GB,2790000.0
https://www.thegioididong.com/dtdd/realme-c61-4gb-128gb,realme C61,3590000.0
https://www.thegioididong.com/dtdd/realme-13-plus-5g-8gb-256gb,realme 13+ 5G,8890000.0
https://www.thegioididong.com/dtdd/honor-x5-plus,HONOR X5 Plus 4GB/64GB,2290000.0
https://www.thegioididong.com/dtdd/honor-x8b,HONOR X8b 8GB/512GB,6390000.0
https://www.thegioididong.com/dtdd/honor-x7c,HONOR X7c 8GB/256GB,5190000.0
https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb,HONOR X6b,3690000.0
https://www.thegioididong.com/dtdd/honor-200-12gb-256gb,HONOR 200 5G,12490000.0
https://www.thegioididong.com/dtdd/tcl-406s,TCL 406s 4GB/64GB,1890000.0
https://www.thegioididong.com/dtdd/tecno-spark-go-1,Tecno Spark GO 1 3GB/64GB,1990000.0
https://www.thegioididong.com/dtdd/tecno-spark-20c,Tecno Spark 20C 8GB/128GB,2490000.0
https://www.thegioididong.com/dtdd/tecno-spark-go-2024,Tecno Spark Go 2024 3GB/64GB,1890000.0
https://www.thegioididong.com/dtdd/nokia-105-4g-pro,Nokia 105 4G Pro,680000.0
https://www.thegioididong.com/dtdd/nokia-220-4g,Nokia 220 4G,990000.0
https://www.thegioididong.com/dtdd/nokia-110-4g-pro,Nokia 110 4G Pro,750000.0
https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,Nokia HMD 105 4G,650000.0
https://www.thegioididong.com/dtdd/nokia-3210-4g,Nokia 3210 4G,1590000.0
https://www.thegioididong.com/dtdd/nokia-105-4g,Nokia 105,610000.0
https://www.thegioididong.com/dtdd/benco-4g-g3,Benco 4G G3,380000.0
https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2,Viettel Sumo 4G T2,550000.0
https://www.thegioididong.com/dtdd/masstel-fami-50,Masstel Fami 50 4G,600000.0
https://www.thegioididong.com/dtdd/masstel-izi-10,Masstel IZI 10 4G,410000.0
https://www.thegioididong.com/dtdd/masstel-izi-t6,Masstel IZI T6 4G,500000.0
https://www.thegioididong.com/dtdd/mobell-m239,Mobell M239,500000.0
https://www.thegioididong.com/dtdd/realme-c65s,realme C65s,4290000.0
https://www.thegioididong.com/dtdd/masstel-fami-60s,Masstel Fami 60S 4G,700000.0
https://www.thegioididong.com/dtdd/mobell-f209,Mobell F209 4G,620000.0
https://www.thegioididong.com/dtdd/itel-it9310,Itel it9310,650000.0
https://www.thegioididong.com/dtdd/itel-it9211,Itel it9211,490000.0
https://www.thegioididong.com/dtdd/mobell-f309,Mobell F309 4G,760000.0
https://www.thegioididong.com/dtdd/mobell-m331,Mobell M331 4G,550000.0
https://www.thegioididong.com/dtdd/mobell-m539,Mobell M539 4G,700000.0
https://www.thegioididong.com/dtdd/itel-it2600,Itel it2600,490000.0
